,name,price,description,link
0,"MacBook Pro 14 (2023), 1024 ГБ, M2 Pro (12 ядер), RAM 16 ГБ, GPU 19-core в Москве",195000,"Новый в упаковке. Русская раскладка есть. Реальным покупателям небольшой торг.

В ноутбуке Apple MacBook Pro 14 2023 года выпуска, установлен двенадцатиядерный процессор M2 Pro от того же производителя. Объем оперативной памяти — 16 Гб. Хранилище для файлов и приложений — Ssd-накопитель 1024 ГБ.

Диагональ экрана Liquid Retina Xdr — 14,2 дюйма, разрешение — 3024 х 1964 пикселя, частота обновления — 120 Гц. Клавиатура дополнена подсветкой. Звуковая система Dolby Atmos состоит из шести динамиков.

Вес мобильного компьютера — 1,60 кг. Толщина алюминиевого корпуса — 15.5 мм. Время работы без подзарядки — до 18 часа. Есть поддержка Wi-Fi и Bluetooth. Для подключения внешних устройств и накопителей данных добавлены порты Thunderbolt. Предусмотрен аудиоразъем 3,5 мм для проводной гарнитуры.

Характеристики.

Чип Apple M2 Pro или M2 Max: грандиозное расширение вычислительных и графических возможностей компьютера, ускорение операций машинного обучения.
Процессор 10 и 12 ядер — до 3,7 раза мощнее, чтобы ещё быстрее справляться с задачами профессионального уровня.
Графический процессор до 38 ядер — до 13 раз быстрее, чтобы можно было использовать самую сложную графику в играх и приложениях.
16 ядерная система Neural Engine — до 11 раз быстрее машинное обучение.
Увеличенное время работы от аккумулятора: до 22 часов без подзарядки.
До 96 ГБ объединённой памяти, чтобы всё работало быстро и плавно.
Сверхбыстрый Ssd накопитель до 8 ТБ (8192 ГБ), чтобы файлы и приложения открывались без задержки.
Потрясающий дисплей Liquid Retina Xdr с диагональю 16 дюймов, экстремальным динамическим диапазоном и поразительной контрастностью.
Камера facetime HD 1080p с передовым процессором обработки сигналов, чтобы изображение во время видеозвонков было ещё более чётким.
Система из шести динамиков, включая низкочастотные с подавлением резонанса Система из трёх микрофонов студийного уровня для качественной передачи голоса.
Три порта Thunderbolt 4, порт Hdmi, слот для карт Sdxc, выход для наушников, разъём питания magsafe 3.
Поддержка Wi Fi 6E для подключения к высокоскоростным сетям нового поколения.
Клавиатура Magic Keyboard с подсветкой и технологией Touch ID, чтобы быстро и безопасно входить в учётные записи и оплачивать покупки.
В macos Monterey есть новые мощные функции для творчества, общения и совместной работы, обновления facetime и усовершенствованный браузер Safari.",https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_14_m2_pro_12c_cpu_19c_gpu_20_3878123284
1,"MacBook Pro 13 (2017), 128 ГБ, Core i5, 2.3 ГГц, RAM 8 ГБ, Intel Iris Plus Graphics 640 в Москве",38600,"Продается верный и бесперебойный помощник девочки-дизайнера, который только что уступил место обновленной модели 2023 года. А эта славная машинка может послужить кому-нибудь еще) Как вам такой сценарий: я для интереса установил на него винду и подключил компактный egpu, т. Е. Внешнюю видеокарту! Эксперимент был славный, но в настоящий момент система стоит родная и бук готов обрести нового хозяина).

Макбук Про был куплен в 2018 году в Связном (ростест). Не вскрывался, не ремонтировался. Работает как часы, установлена версия ОС 11.7.6. Big Sur. Имеет некоторые естественные потертости от использования, в целом в очень хорошем состоянии.

В комплекте родной шнур и блок питания, а также коробка. Фотки макбука делала его единственная хозяйка.",https://www.avito.ru/moskva/noutbuki/macbook_pro_13_core_i5_8128_4049963361
2,"MacBook Pro 16 (2023), 2048 ГБ, M3 Pro (12 ядер), RAM 36 ГБ, GPU 18-core в Москве",315000,"Абсолютно новый запечатанный ноутбук Apple MacBook Pro 16 2023 M3 Pro/12C Cpu/18C Gpu/36 GB/2 TB Ssd/ Space Black. В наличии, можете подъехать и купить. Все цены актуальные. Возможен обмен на вашу технику Apple. Могу выставить счет на оплату, плюс 10% к стоимости.",https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2023_m3_pro36_gb2_tbblack_3658998419
3,"MacBook Pro 16 (2023), 1024 ГБ, M3 Max (14 ядер), RAM 36 ГБ, GPU 30-core в Москве",320000,"Абсолютно новый Apple MacBook Pro 16 2023 M3 Max/14c Cpu/30c Gpu/36 GB/1 TB Ssd/Space Black. Вскрыта упаковка при транспортировке. Ноутбук в использовании не был. На гарантии от Apple до 12 января 2025 года. Возможен обмен на вашу технику Apple. Могу выставить счет на оплату, плюс 10% к стоимости.",https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2023_m3_max36_gb1_tb_ssdnew_3691058208
4,"MacBook Pro 16 (2023), 4096 ГБ, M3 Max (16 ядер), RAM 64 ГБ, GPU 40-core в Москве",575000,"Абсолютно новый запечатанный Apple MacBook Pro 16 M3 Max/16c Cpu/40c Gpu/64 GB/4 TB Ssd. Space Black. Возможен обмен на вашу технику Apple. Могу выставить счет на оплату, плюс 10% к стоимости.",https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2023_m3_max40c64_gb4_tb_ssdnew_3691039017
5,"MacBook Pro 16 (2023), 512 ГБ, M3 Pro (12 ядер), RAM 16 ГБ, GPU 18-core в Москве",144990,"Нoвыe неактивирoвaнные с заводcкими пломбaми мaсbоok Рrо 16«, MacBook Рrо 14» на процессорах M3 Pro, M3 Max.",https://www.avito.ru/moskva/noutbuki/macbook_pro_14pro_16_m3_pro_m3_max_2023_god_3501178098
6,Apple MacBook Pro Air ассортимент из США в Москве,150000,"Oчeнь приятныe цены на Макбуки в нашем магaзине!

Товар новый, не восстановленный в ассортименте:

Apple MacBook Air 15 M2 2023 8/512 — Silver — Mqkt3ll/A — 126.990 р.

Apple MacBook Air 15 M2 2023 16/256 — Midnight — Z18t0ll/A — 139.990 р.

Apple MacBook Pro 16 M3 2023 18/512 — Black — Mrw13ll/A — 219.990 р.

Apple MacBook Pro 14 M2 2023 16/1Tb — spacegray Mphf3ll/A — 205.990 р.

Xорoший acсоpтимент лaптoпoв нa любoй вкус.

Товар новый, в заводcкoй упакoвкe, с плoмбaми.

Пpямые поcтaвки из США.

Гaрантия oт нашeгo мaгaзина.

Обоpудoваннoе уютнoe местo выдaчи товара позвoлит Вам качеcтвеннo пpoверить перед покупкой товар без суеты и спешки.

Оплата наличными, по QR коду, переводом на карту или на р/с ИП.

Переходите в профиль, выбирайте свою модель.

Звоните, пишите — я на связи!",https://www.avito.ru/moskva/noutbuki/apple_macbook_pro_air_assortiment_iz_ssha_3734714786
7,"MacBook Pro 14 (2023), 2048 ГБ, M3 Max (16 ядер), RAM 64 ГБ, GPU 40-core в Москве",380000,"Под заказ, предоплата 100%, поставка 1 месяц.

Новый, запечатанный, не активирован.

Гарантия 1 год.

Заключение договора с ООО и выдача кассового чека на сумму предоплаты, на межгород предоплата на расчетный счет ООО, доставка Сдэк.

Работаем с юридическими и физическими лицами.

Магазин Телебум — г. Новосибирск, ул. Красный проспект, д 51\2 и г. Москва, Большая Сухаревская площадь, д. 14/7.

Работаем ежедневно с 10 до 20.",https://www.avito.ru/moskva/noutbuki/macbook_pro_2023_14_m3_max_64gb2tb_3647271468
8,"MacBook Pro 16 (2023), 1024 ГБ, M3 Pro (12 ядер), RAM 36 ГБ, GPU 18-core в Москве",290000,"Абсолютно новый запечатанный Apple MacBook Pro 16 2023 M3 Pro/12c Cpu/18c Gpu/36 GB/1 TB Ssd/Space Black. В наличии, можете приехать и купить. Могу выставить счет на оплату, плюс 10% к стоимости. Возможен обмен на вашу технику Apple.",https://www.avito.ru/moskva/noutbuki/macbook_pro_16_2023_m3_pro36_gb1_tbnewblack_3658827439
9,"MacBook Pro 14 (2023), 1024 ГБ, M3 Max (16 ядер), RAM 64 ГБ, GPU 40-core в Москве",420000,"Новый Запечатанный MacBook Pro 14 2023 M3 Max — 16с Cpu и 40c Gpu / 64Gb / 1Tb. Цвет Space Black. В наличии. Купить можно хоть сейчас. Клавиатура Америка.

Оплата наличкой или Usdt, оплата на ИП + 10% к счету. Возможен обмен на вашу технику Apple.",https://www.avito.ru/moskva/noutbuki/macbook_pro_14_2023_m3_max_64gb_1tb_space_black_3760751245
