,name,film_type,rating,html
0,Тёща,"2023, Россия, Комедии","7,3",https://www.ivi.ru/watch/523945
1,Вредная привычка,"2023, Россия, Комедии","7,8",https://www.ivi.ru/watch/524911
2,Испытание аулом,"2023, Россия, Комедии","8,7",https://www.ivi.ru/watch/ispyitanie-aulom
3,Ледяной страх,"2023, Великобритания, Триллеры","5,7",https://www.ivi.ru/watch/ledyanoj-strah
4,Давайте съедем,"2023, Казахстан, Комедии","5,8",https://www.ivi.ru/watch/davajte-sedem
5,Стальная хватка,"2023, Великобритания, Драмы","7,8",https://www.ivi.ru/watch/523568
6,Иллюзия превосходства,"2023, Великобритания, Фантастика","6,8",https://www.ivi.ru/watch/illyuziya-prevoshodstva
7,Самозванка,"2023, США, Триллеры","4,5",https://www.ivi.ru/watch/515977
8,Догмен,"2023, Франция, Боевики","8,4",https://www.ivi.ru/watch/511525
9,Манюня: Новогодние приключения,"2023, Россия, Комедии","8,4",https://www.ivi.ru/watch/manyunya-novogodnie-priklyucheniya
10,Дыхание,"2023, Россия, Драмы","8,3",https://www.ivi.ru/watch/505899
11,Чебурашка,"2023, Россия, Семейные","8,3",https://www.ivi.ru/watch/498269
12,По щучьему велению,"2023, Россия, Фэнтези","8,4",https://www.ivi.ru/watch/502016
13,Пять процентов,"2023, Россия, Комедии","6,0",https://www.ivi.ru/watch/522275
14,Чебурашка. Выходной,"2023, Россия, Короткометражки","8,2",https://www.ivi.ru/watch/526712
15,Принц из рая,"2023, Австралия, Мелодрамы","7,5",https://www.ivi.ru/watch/521509
16,Баба Яга спасает мир,"2023, Россия, Фэнтези","8,0",https://www.ivi.ru/watch/515426
17,Контроль,"2023, Великобритания, Триллеры","5,7",https://www.ivi.ru/watch/524596
18,Подрывник,"2023, США, Боевики","6,4",https://www.ivi.ru/watch/podryivnik
19,Кривая дорога,"2023, США, Триллеры","6,8",https://www.ivi.ru/watch/krivaya-doroga
20,Папины дочки. Новогодние,"2023, Россия, Комедии","8,7",https://www.ivi.ru/watch/526178
21,Дочь болотного царя,"2023, США, Триллеры","7,0",https://www.ivi.ru/watch/509936
22,Вася не в себе,"2023, Россия, Комедии","7,7",https://www.ivi.ru/watch/521415
23,Одна дома,"2023, Россия, Комедии","8,1",https://www.ivi.ru/watch/odna-doma
24,Дорога к дому,"2023, Россия, Драмы","8,1",https://www.ivi.ru/watch/528414
25,Праздники,"2023, Россия, Комедии","7,9",https://www.ivi.ru/watch/519572
26,После. Навсегда,"2023, США, Мелодрамы","7,8",https://www.ivi.ru/watch/517048
27,57 секунд,"2023, США, Фантастика","7,4",https://www.ivi.ru/watch/515974
28,Моё прекрасное несчастье,"2023, США, Комедии","7,7",https://www.ivi.ru/watch/508528
29,Мужчина к Новому году,"2023, Россия, Мелодрамы","6,8",https://www.ivi.ru/watch/muzhchina-k-novomu-godu
30,Синдром,"2023, Россия, Триллеры","6,4",https://www.ivi.ru/watch/522277
31,Coco & Janbo (на казахском языке с русскими субтитрами),"2023, Казахстан, Комедии","7,7",https://www.ivi.ru/watch/527086
32,"На солнце, вдоль рядов кукурузы","2023, Россия, Драмы","8,4",https://www.ivi.ru/watch/506007
33,Повелитель ветра,"2023, Россия, Приключения","8,6",https://www.ivi.ru/watch/214303
34,Моя ужасная сестра 2,"2023, Россия, Комедии","7,9",https://www.ivi.ru/watch/523161
35,Уикенд с батей,"2023, США, Комедии","8,0",https://www.ivi.ru/watch/511419
36,Остров,"2023, США, Боевики","6,8",https://www.ivi.ru/watch/522836
37,Новогодний ол инклюзив,"2023, Россия, Комедии","7,4",https://www.ivi.ru/watch/524913
38,Хоккейные папы,"2023, Россия, Семейные","9,0",https://www.ivi.ru/watch/523260
39,Новогодний шеф,"2023, Россия, Комедии","8,3",https://www.ivi.ru/watch/513761
40,Джон Уик 4,"2023, США, Боевики","8,1",https://www.ivi.ru/watch/513744
41,Шрапнель,"2023, США, Боевики","6,8",https://www.ivi.ru/watch/523813
42,Операция «Фортуна»: Искусство побеждать,"2023, США, Боевики","8,0",https://www.ivi.ru/watch/474934
43,На глубине страха,"2023, Великобритания, Боевики","6,2",https://www.ivi.ru/watch/510684
44,Катастрофа,"2023, Франция, Катастрофы","4,8",https://www.ivi.ru/watch/katastrofa
45,Папаша в бегах,"2023, Россия, Комедии","7,4",https://www.ivi.ru/watch/522833
46,Ёлки 10,"2023, Россия, Комедии","7,1",https://www.ivi.ru/watch/524212
47,Джунгли. Райский переполох,"2023, Чехия, Комедии","7,1",https://www.ivi.ru/watch/523222
48,Наёмный убийца,"2023, Южная Корея, Исторические","7,0",https://www.ivi.ru/watch/nayomnyij-ubijtsa
49,Неудержимые 4,"2023, США, Боевики","7,2",https://www.ivi.ru/watch/144724
50,Крушение,"2023, США, Боевики","8,1",https://www.ivi.ru/watch/502077
51,Лунатики,"2023, Россия, Драмы","7,3",https://www.ivi.ru/watch/473879
52,Беглец,"2023, США, Боевики","7,7",https://www.ivi.ru/watch/509935
53,Мама мафия,"2023, США, Комедии","7,5",https://www.ivi.ru/watch/495676
54,Я хочу! Я буду!,"2023, Россия, Комедии","7,6",https://www.ivi.ru/watch/508527
55,Папы против мам,"2023, Россия, Комедии","7,4",https://www.ivi.ru/watch/504203
56,Гномы. Новогодний беспредел,"2023, Норвегия, Ужасы","6,7",https://www.ivi.ru/watch/523572
57,Переводчик,"2023, США, Боевики","8,6",https://www.ivi.ru/watch/510042
58,Свободные отношения,"2023, Россия, Мелодрамы","7,8",https://www.ivi.ru/watch/503397
59,Папа из спецназа,"2023, Канада, Боевики","6,7",https://www.ivi.ru/watch/515973
